,EventID,Event_type,Name,Start_Time,Start_Hour,End_Time
169,1.52E+15,basketball,Harlem Globetrotters,2016-01-02T14:00:00-0500,,2016-01-02T16:00:00-0500
168,1.49E+15,basketball,Harlem Globetrotters,2016-01-02T19:00:00-0500,,2016-01-02T21:00:00-0500
167,2.01E+14,basketball,Brooklyn Nets vs. Boston Celtics,2016-01-04T19:30:00-0500,,2016-01-04T21:30:00-0500
166,1.08E+15,basketball,Brooklyn Nets vs. Toronto Raptors,2016-01-06T19:30:00-0500,,2016-01-06T21:30:00-0500
165,1.39E+15,basketball,Brooklyn Nets vs. Orlando Magic,2016-01-08T19:30:00-0500,,2016-01-08T21:30:00-0500
164,1.23E+15,basketball,Brooklyn Nets vs. San Antonio Spurs,2016-01-11T19:30:00-0500,,2016-01-11T21:30:00-0500
163,9.20E+14,basketball,Brooklyn Nets vs. New York Knicks,2016-01-13T19:30:00-0500,,2016-01-13T21:30:00-0500
162,1.11E+14,basketball,Brooklyn Nets vs. Portland Trail Blazers,2016-01-15T19:30:00-0500,,2016-01-15T21:30:00-0500
161,1.72E+15,boxing,Heavyweight Championship: Deontay Wilder v. Artur Szpilka,2016-01-16T18:00:00-0500,,2016-01-16T19:00:00-0500
160,6.49E+14,family,Brooklyn Open Skate - Session 1 (9AM - 10:45AM),2016-01-18T09:00:00-0500,,2016-01-18T10:45:00-0500
159,9.43E+14,family,Brooklyn Open Skate - Session 2 (11:15AM - 1PM),2016-01-18T11:15:00-0500,,2016-01-18T13:00:00-0500
158,1.65E+15,basketball,Brooklyn Nets vs. Cleveland Cavaliers,2016-01-20T19:30:00-0500,,2016-01-20T21:30:00-0500
157,1.66E+15,concert,Kygo,2016-01-21T20:00:00-0500,,2016-01-21T23:00:00-0500
156,8.87E+14,basketball,Brooklyn Nets vs. Utah Jazz,2016-01-22T19:30:00-0500,,2016-01-22T21:30:00-0500
155,4.64E+14,basketball,Brooklyn Nets vs. Oklahoma City Thunder,2016-01-24T19:30:00-0500,,2016-01-24T21:30:00-0500
154,1.07E+15,basketball,Brooklyn Nets vs. Miami Heat,2016-01-26T19:30:00-0500,,2016-01-26T21:30:00-0500
153,9.17E+14,concert,Muse: Drones World Tour,2016-01-27T19:30:00-0500,,2016-01-27T22:30:00-0500
152,4.96E+14,basketball,Brooklyn Nets vs. Detroit Pistons,2016-02-01T19:30:00-0500,,2016-02-01T21:30:00-0500
151,8.51E+14,basketball,Brooklyn Nets vs. Indiana Pacers,2016-02-03T19:30:00-0500,,2016-02-03T21:30:00-0500
150,1.27E+15,basketball,Brooklyn Nets vs. Sacramento Kings,2016-02-05T19:30:00-0500,,2016-02-05T21:30:00-0500
149,1.72E+15,basketball,Brooklyn Nets vs. Denver Nuggets,2016-02-08T19:30:00-0500,,2016-02-08T21:30:00-0500
148,1.52E+15,basketball,Brooklyn Nets vs. Memphis Grizzlies,2016-02-10T19:30:00-0500,,2016-02-10T21:30:00-0500
147,4.98E+14,other,Ladies Night R&B Super Jam,2016-02-12T20:00:00-0500,,2016-02-12T23:00:00-0500
146,9.26E+14,concert,Maxwell and Nas,2016-02-14T20:00:00-0500,,2016-02-14T23:00:00-0500
145,4.42E+14,basketball,Brooklyn Nets vs. New York Knicks,2016-02-19T19:30:00-0500,,2016-02-19T21:30:00-0500
144,7.12E+14,basketball,Brooklyn Nets vs. Charlotte Hornets,2016-02-21T18:00:00-0500,,2016-02-21T20:00:00-0500
143,1.67E+15,family,Ringling Bros. and Barnum & Bailey Presents LEGENDS,2016-03-01T10:30:00-0500,,2016-03-01T12:30:00-0500
142,1.65E+15,family,Ringling Bros. and Barnum & Bailey Presents LEGENDS,2016-03-03T10:30:00-0500,,2016-03-03T12:30:00-0500
141,5.14E+14,hockey,New York Islanders vs. Pittsburgh Penguins,2016-03-08T19:30:00-0500,,2016-03-08T21:30:00-0500
140,1.50E+15,basketball,Atlantic 10 Men's Basketball Championship: First Round (Session 1),2016-03-09T18:30:00-0500,,2016-03-09T20:30:00-0500
139,9.55E+14,basketball,Atlantic 10 Men's Basketball Championship: Second Round (Session 2),2016-03-10T12:00:00-0500,,2016-03-10T14:00:00-0500
138,4.46E+14,basketball,Atlantic 10 Men's Basketball Championship: Second Round (Session 3),2016-03-10T18:30:00-0500,,2016-03-10T20:30:00-0500
137,1.42E+14,basketball,Atlantic 10 Men's Basketball Championship: Quarterfinals (Session 4),2016-03-11T12:00:00-0500,,2016-03-11T14:00:00-0500
136,1.68E+15,basketball,Atlantic 10 Men's Basketball Championship: Quarterfinals (Session 5),2016-03-11T18:30:00-0500,,2016-03-11T20:30:00-0500
135,1.49E+15,basketball,Atlantic 10 Men's Basketball Championship: Semifinals (Session 6),2016-03-12T13:30:00-0500,,2016-03-12T15:30:00-0500
133,8.47E+14,basketball,Atlantic 10 Men's Basketball Championship: Final (Session 7),2016-03-13T12:30:00-0400,,2016-03-12T14:30:00-0500
134,1.83E+14,basketball,2016 Atlantic 10 Mens Basketball Championship: SERIES PACKAGE,2016-03-13T12:30:00-0400,,2016-03-13T14:30:00-0400
132,1.65E+15,basketball,Brooklyn Nets vs. Milwaukee Bucks,2016-03-13T20:00:00-0400,,2016-03-13T22:00:00-0400
131,1.19E+15,basketball,Brooklyn Nets vs. Philadelphia 76ers,2016-03-15T19:30:00-0400,,2016-03-15T21:30:00-0400
130,1.86E+14,hockey,New York Islanders vs. Philadelphia Flyers,2016-03-21T19:30:00-0400,,2016-03-21T21:30:00-0400
129,1.49E+15,basketball,Brooklyn Nets vs. Charlotte Hornets,2016-03-22T19:30:00-0400,,2016-03-22T21:30:00-0400
128,6.16E+14,basketball,Brooklyn Nets vs. Cleveland Cavaliers,2016-03-24T19:30:00-0400,,2016-03-24T21:30:00-0400
127,1.61E+15,concert,Katt Williams: Conspiracy Theory,2016-03-25T20:00:00-0400,,2016-03-25T23:00:00-0400
126,9.06E+14,basketball,Brooklyn Nets vs. Indiana Pacers,2016-03-26T18:00:00-0400,,2016-03-26T20:00:00-0400
125,1.49E+15,concert,Rihanna: Anti World Tour 2016,2016-03-27T19:30:00-0400,,2016-03-27T22:30:00-0400
124,9.24E+14,boxing,WWE Monday Night RAW,2016-03-28T18:30:00-0400,,2016-03-28T19:30:00-0400
123,1.64E+15,concert,Rihanna: Anti World Tour 2016,2016-03-30T19:30:00-0400,,2016-03-30T22:30:00-0400
122,1.09E+15,basketball,Brooklyn Nets vs. New Orleans Pelicans,2016-04-03T13:00:00-0400,,2016-04-03T15:00:00-0400
121,1.55E+15,other,Rock and Roll Hall of Fame Induction Ceremony 2016,2016-04-08T19:00:00-0400,,2016-04-08T22:00:00-0400
120,4.50E+14,basketball,Brooklyn Nets vs. Washington Wizards,2016-04-11T19:30:00-0400,,2016-04-11T21:30:00-0400
119,1.56E+15,concert,Duran Duran: The Paper Gods Tour with Chic featuring Nile Rodgers,2016-04-12T19:00:00-0400,,2016-04-12T21:00:00-0400
118,1.69E+15,basketball,Brooklyn Nets vs. Toronto Raptors,2016-04-13T20:00:00-0400,,2016-04-13T22:00:00-0400
117,1.67E+15,basketball,Jordan Brand Classic,2016-04-15T13:30:00-0400,,2016-04-15T15:30:00-0400
116,4.82E+14,boxing,Premier Boxing Champions: Errol Spence Jr. V Chris Algieri,2016-04-16T18:00:00-0400,,2016-04-16T19:00:00-0400
115,1.69E+15,boxing,Daily News Golden Gloves,2016-04-17T20:00:00-0400,,2016-04-17T21:00:00-0400
114,9.83E+14,concert,Bruce Springsteen and the E Street Band: The River Tour,2016-04-23T19:30:00-0400,,2016-04-23T22:30:00-0400
113,1.53E+15,concert,Bruce Springsteen and the E Street Band: The River Tour,2016-04-25T19:30:00-0400,,2016-04-25T22:30:00-0400
112,1.72E+15,concert,Justin Bieber: Purpose World Tour,2016-05-04T19:30:00-0400,,2016-05-04T22:30:00-0400
111,1.68E+15,concert,Justin Bieber: Purpose World Tour,2016-05-05T19:30:00-0400,,2016-05-05T22:30:00-0400
110,1.69E+15,other,Martin Lawrence,2016-05-14T20:00:00-0400,,2016-05-14T21:00:00-0400
109,5.34E+14,concert,The 1975,2016-05-17T20:00:00-0400,,2016-05-17T23:00:00-0400
108,1.56E+15,concert,Bad Boy Family Reunion,2016-05-20T20:00:00-0400,,2016-05-20T23:00:00-0400
107,1.30E+14,concert,Bad Boy Family Reunion,2016-05-21T20:00:00-0400,,2016-05-21T23:00:00-0400
106,4.71E+14,concert,Selena Gomez,2016-06-01T19:30:00-0400,,2016-06-01T22:30:00-0400
105,1.73E+14,concert,Florence and the Machine: How Beautiful Tour,2016-06-14T19:30:00-0400,,2016-06-14T22:30:00-0400
104,1.65E+15,concert,Florence and the Machine: How Beautiful Tour,2016-06-15T19:30:00-0400,,2016-06-15T22:30:00-0400
103,5.06E+14,boxing,Premier Boxing Champions: Keith Thurman V. Shawn Porter,2016-06-25T17:40:00-0400,,2016-06-25T18:40:00-0400
102,5.13E+14,basketball,Roc Nation Summer Classic Charity Basketball Game,2016-07-21T20:00:00-0400,,2016-07-21T22:00:00-0400
101,1.67E+15,concert,One Africa Music Fest,2016-07-22T19:30:00-0400,,2016-07-22T22:30:00-0400
100,1.02E+15,boxing,Showtime Championship Boxing: Leo Santa Cruz v. Carl Frampton,2016-07-30T16:30:00-0400,,2016-07-30T17:30:00-0400
99,1.62E+15,concert,Barbra Streisand,2016-08-11T20:00:00-0400,,2016-08-11T23:00:00-0400
98,1.22E+15,concert,Barbra Streisand,2016-08-13T20:00:00-0400,,2016-08-13T23:00:00-0400
97,2.92E+14,concert,Flo Rida,2016-08-18T19:00:00-0400,,2016-08-18T22:00:00-0400
95,1.23E+15,boxing,WWE Superstar Meet & Greet - Kevin Owens,2016-08-19T13:00:00-0400,,2016-08-19T14:00:00-0400
96,1.04E+15,boxing,WWE Superstar Meet & Greet - AJ Styles,2016-08-19T13:00:00-0400,,2016-08-19T14:00:00-0400
93,1.74E+15,boxing,WWE Superstar Meet & Greet - Enzo & Cass,2016-08-19T15:30:00-0400,,2016-08-19T16:30:00-0400
94,1.40E+15,boxing,WWE Superstar Meet & Greet - New Day,2016-08-19T15:30:00-0400,,2016-08-19T16:30:00-0400
92,1.61E+15,other,NXT TakeOver: Brooklyn II,2016-08-20T19:30:00-0400,,2016-08-20T20:30:00-0400
91,7.00E+14,boxing,WWE SummerSlam,2016-08-21T18:00:00-0400,,2016-08-21T19:00:00-0400
90,1.99E+14,concert,Prophets of Rage - Make America Rage Again Tour,2016-08-27T19:00:00-0400,,2016-08-27T22:00:00-0400
89,1.69E+15,other,TFC Presents ASAP Live in NY,2016-09-03T17:00:00-0400,,2016-09-03T20:00:00-0400
88,5.14E+14,family,TORUK - The First Flight,2016-09-07T19:30:00-0400,,2016-09-07T21:30:00-0400
87,7.83E+14,family,TORUK - The First Flight,2016-09-08T19:30:00-0400,,2016-09-08T21:30:00-0400
86,6.42E+14,family,TORUK - The First Flight,2016-09-09T16:00:00-0400,,2016-09-09T18:00:00-0400
85,1.01E+15,family,TORUK - The First Flight,2016-09-09T19:30:00-0400,,2016-09-09T21:30:00-0400
84,9.25E+14,family,TORUK - The First Flight,2016-09-10T16:00:00-0400,,2016-09-10T18:00:00-0400
83,5.51E+14,family,TORUK - The First Flight,2016-09-10T20:00:00-0400,,2016-09-10T22:00:00-0400
82,7.41E+14,family,TORUK - The First Flight,2016-09-11T13:30:00-0400,,2016-09-11T15:30:00-0400
81,1.83E+15,family,TORUK - The First Flight,2016-09-11T17:30:00-0400,,2016-09-11T19:30:00-0400
80,1.11E+15,hockey,New York Islanders vs. Philadelphia Flyers,2016-09-26T19:00:00-0400,,2016-09-26T21:00:00-0400
79,1.73E+15,hockey,New York Islanders vs. New Jersey Devils,2016-10-03T19:00:00-0400,,2016-10-03T21:00:00-0400
78,5.45E+14,concert,EROS RAMAZZOTTI WORLD TOUR 2016,2016-10-05T20:00:00-0400,,2016-10-05T23:00:00-0400
77,1.85E+14,basketball,Brooklyn Nets vs. Detroit Pistons,2016-10-06T19:30:00-0400,,2016-10-06T21:30:00-0400
76,5.07E+14,concert,Blake Shelton: Presented by GildanÂ®,2016-10-07T19:30:00-0400,,2016-10-07T22:30:00-0400
75,3.43E+14,concert,Blake Shelton: Presented by GildanÂ®,2016-10-08T19:30:00-0400,,2016-10-08T22:30:00-0400
74,1.54E+15,concert,Juan Gabriel,2016-10-09T19:00:00-0400,,2016-10-09T22:00:00-0400
73,7.77E+14,concert,Drake: Summer Sixteen Tour,2016-10-11T18:30:00-0400,,2016-10-11T21:30:00-0400
72,9.70E+14,concert,Drake: Summer Sixteen Tour,2016-10-12T18:30:00-0400,,2016-10-12T21:30:00-0400
71,5.20E+14,basketball,Brooklyn Nets vs. Boston Celtics,2016-10-13T19:30:00-0400,,2016-10-13T21:30:00-0400
70,3.02E+14,other,TIDAL X 1015,2016-10-15T20:00:00-0400,,2016-10-15T23:00:00-0400
69,1.75E+15,hockey,New York Islanders V Anaheim Ducks (Magnetic Schedule & T-Shirt),2016-10-16T18:00:00-0400,,2016-10-16T20:00:00-0400
68,8.72E+14,hockey,New York Islanders V San Jose Sharks,2016-10-18T19:00:00-0400,,2016-10-18T21:00:00-0400
67,1.61E+14,basketball,Brooklyn Nets vs. New York Knicks,2016-10-20T19:30:00-0400,,2016-10-20T21:30:00-0400
66,6.24E+14,hockey,New York Islanders V Arizona Coyotes (Rally Towel Giveaway),2016-10-21T19:00:00-0400,,2016-10-21T21:00:00-0400
65,1.59E+14,boxing,Masters of Ceremony,2016-10-22T20:00:00-0400,,2016-10-22T21:00:00-0400
64,2.97E+14,hockey,New York Islanders V Minnesota Wild,2016-10-23T18:00:00-0400,,2016-10-23T20:00:00-0400
63,1.23E+15,concert,Sia: Nostalgic For The Present Tour,2016-10-25T19:00:00-0400,,2016-10-25T22:00:00-0400
62,1.64E+15,concert,Miguel - Upgrade Meet & Greet Packages,2016-10-25T19:01:00-0400,,2016-10-25T22:01:00-0400
61,7.57E+14,hockey,New York Islanders v. Montreal Canadiens (Bill Torrey Bowtie),2016-10-26T19:00:00-0400,,2016-10-26T21:00:00-0400
60,1.50E+15,other,Power 105.1 Presents Powerhouse NYC,2016-10-27T19:00:00-0400,,2016-10-27T22:00:00-0400
59,9.19E+14,basketball,Brooklyn Nets vs. Indiana Pacers,2016-10-28T19:30:00-0400,,2016-10-28T21:30:00-0400
58,1.03E+15,hockey,New York Islanders v. Toronto Maple Leafs (Trick-or-Treat Bag),2016-10-30T18:00:00-0400,,2016-10-30T20:00:00-0400
57,1.58E+14,basketball,Brooklyn Nets vs. Chicago Bulls,2016-10-31T19:30:00-0400,,2016-10-31T21:30:00-0400
56,1.79E+15,hockey,New York Islanders v. Tampa Bay Lightning,2016-11-01T19:30:00-0400,,2016-11-01T21:30:00-0400
55,1.64E+15,basketball,Brooklyn Nets vs. Detroit Pistons,2016-11-02T19:30:00-0400,,2016-11-02T21:30:00-0400
54,5.08E+14,hockey,New York Islanders v. Philadelphia Flyers,2016-11-03T19:00:00-0400,,2016-11-03T21:00:00-0400
53,1.16E+15,basketball,Brooklyn Nets vs. Charlotte Hornets,2016-11-04T19:30:00-0400,,2016-11-04T21:30:00-0400
52,2.73E+14,hockey,New York Islanders v. Edmonton Oilers,2016-11-05T19:00:00-0400,,2016-11-05T21:00:00-0400
51,2.83E+14,family,Kellogg's Tour Of Gymnastics Champions,2016-11-06T17:00:00-0500,,2016-11-06T18:00:00-0500
50,3.01E+14,hockey,New York Islanders v. Vancouver Canucks (Cal Clutterbuck Bobblehead),2016-11-07T19:00:00-0500,,2016-11-07T21:00:00-0500
49,3.11E+14,basketball,Brooklyn Nets v. Minnesota Timberwolves,2016-11-08T19:30:00-0500,,2016-11-08T21:30:00-0500
48,1.64E+15,family,Disney On Ice presents Follow Your Heart,2016-11-09T19:00:00-0500,,2016-11-09T21:00:00-0500
47,1.07E+15,family,Disney On Ice presents Follow Your Heart,2016-11-10T11:00:00-0500,,2016-11-10T13:00:00-0500
46,6.20E+14,family,Disney On Ice presents Follow Your Heart,2016-11-10T19:00:00-0500,,2016-11-10T21:00:00-0500
45,2.75E+14,family,Disney On Ice presents Follow Your Heart,2016-11-11T15:00:00-0500,,2016-11-11T17:00:00-0500
44,1.07E+15,family,Disney On Ice presents Follow Your Heart,2016-11-11T19:00:00-0500,,2016-11-11T21:00:00-0500
43,7.32E+14,family,Disney On Ice presents Follow Your Heart,2016-11-12T11:00:00-0500,,2016-11-12T13:00:00-0500
42,3.01E+14,family,Disney On Ice presents Follow Your Heart,2016-11-12T15:00:00-0500,,2016-11-12T17:00:00-0500
41,2.91E+14,family,Disney On Ice presents Follow Your Heart,2016-11-12T19:00:00-0500,,2016-11-12T21:00:00-0500
40,6.23E+14,family,Disney On Ice presents Follow Your Heart,2016-11-13T13:00:00-0500,,2016-11-13T15:00:00-0500
39,8.93E+14,family,Disney On Ice presents Follow Your Heart,2016-11-13T17:00:00-0500,,2016-11-13T19:00:00-0500
38,1.57E+14,hockey,New York Islanders v. Tampa Bay Lightning (Brock Nelson Bobblehead),2016-11-14T19:00:00-0500,,2016-11-14T21:00:00-0500
37,1.64E+15,basketball,LIU Brooklyn Blackbirds Men's Basketball vs. Loyola Greyhounds Men's Basketball,2016-11-16T19:00:00-0500,,2016-11-16T21:00:00-0500
36,1.62E+15,hockey,New York Islanders V Pittsburgh Penguins,2016-11-18T19:00:00-0500,,2016-11-18T21:00:00-0500
35,2.37E+14,concert,Keith Urban - ripCORD World Tour 2016,2016-11-19T19:30:00-0500,,2016-11-19T22:30:00-0500
34,1.33E+15,basketball,Brooklyn Nets v Portland Trail Blazers (Knit Hat Giveaway),2016-11-20T15:30:00-0500,,2016-11-20T17:30:00-0500
33,1.78E+14,basketball,Legends Classic Basketball Doubleheader,2016-11-21T19:00:00-0500,,2016-11-21T21:00:00-0500
32,1.01E+15,basketball,Legends Classic Basketball Doubleheader,2016-11-22T00:00:00-0500,,2016-11-22T02:00:00-0500
31,6.57E+14,basketball,Legends Classic Basketball Doubleheader,2016-11-22T15:30:00-0500,,2016-11-22T17:30:00-0500
30,1.79E+15,basketball,Long Island Nets v. Canton Charge,2016-11-23T13:30:00-0500,,2016-11-23T15:30:00-0500
29,9.39E+14,basketball,Brooklyn Nets v. Boston Celtics,2016-11-23T19:30:00-0500,,2016-11-23T21:30:00-0500
28,1.75E+15,basketball,2016 NIT Season Tip-off Day 1,2016-11-24T00:00:00-0500,,2016-11-24T02:00:00-0500
27,1.62E+15,basketball,2016 NIT Season Tip-off Day 2,2016-11-25T00:00:00-0500,,2016-11-25T02:00:00-0500
26,5.84E+14,basketball,Barclays Center Classic Day 1,2016-11-25T19:00:00-0500,,2016-11-25T21:00:00-0500
25,1.09E+15,basketball,Brooklyn Hoops Holiday Invitational: Syracuse V. South Carolina,2016-11-26T00:00:00-0500,,2016-11-26T02:00:00-0500
24,2.92E+14,basketball,Barclays Center Classic Day 2,2016-11-26T19:00:00-0500,,2016-11-26T21:00:00-0500
23,3.11E+14,basketball,Long Island Nets v. Grand Rapids Drive,2016-11-27T12:00:00-0500,,2016-11-27T14:00:00-0500
22,5.52E+14,basketball,Brooklyn Nets v. Sacramento Kings (Texting Gloves Giveaway),2016-11-27T18:00:00-0500,,2016-11-27T20:00:00-0500
21,1.77E+15,hockey,New York Islanders v. Calgary Flames (Rally Towel Giveaway),2016-11-28T19:00:00-0500,,2016-11-28T21:00:00-0500
20,1.02E+15,basketball,Brooklyn Nets v. Los Angeles Clippers,2016-11-29T19:30:00-0500,,2016-11-29T21:30:00-0500
19,2.62E+14,hockey,New York Islanders v. Pittsburgh Penguins,2016-11-30T20:00:00-0500,,2016-11-30T22:00:00-0500
18,9.55E+14,basketball,Brooklyn Nets v. Milwaukee Bucks,2016-12-01T19:30:00-0500,,2016-12-01T21:30:00-0500
17,2.02E+14,hockey,New York Islanders v. Detroit Red Wings,2016-12-04T18:00:00-0500,,2016-12-04T20:00:00-0500
16,1.77E+15,basketball,Brooklyn Nets v. Washington Wizards,2016-12-05T19:30:00-0500,,2016-12-05T21:30:00-0500
15,6.57E+14,hockey,New York Islanders v. New York Rangers,2016-12-06T19:00:00-0500,,2016-12-06T21:00:00-0500
14,1.22E+15,basketball,Brooklyn Nets v. Denver Nuggets (Brook Lopez Star Wars Bobblehead),2016-12-07T19:30:00-0500,,2016-12-07T21:30:00-0500
13,1.56E+15,hockey,New York Islanders v. St. Louis Blues,2016-12-08T19:00:00-0500,,2016-12-08T21:00:00-0500
12,1.32E+15,family,Wcbs-Fm 101.1 Presents Holiday in Brooklyn,2016-12-09T20:00:00-0500,,2016-12-09T22:00:00-0500
11,3.42E+14,basketball,BROOKLYN HOOPS Winter Festival: Kentucky V. Hofstra,2016-12-11T00:00:00-0500,,2016-12-11T02:00:00-0500
10,9.74E+14,hockey,New York Islanders v. Washington Capitals (Star Wars Beanie Giveaway),2016-12-13T19:00:00-0500,,2016-12-13T21:00:00-0500
9,1.25E+15,basketball,Brooklyn Nets v. Los Angeles Lakers,2016-12-14T19:30:00-0500,,2016-12-14T21:30:00-0500
8,1.23E+15,hockey,New York Islanders V Chicago Blackhawks,2016-12-15T19:00:00-0500,,2016-12-15T21:00:00-0500
7,2.39E+14,hockey,New York Islanders V Ottawa Senators (Ugly Holiday T-Shirt Giveaway),2016-12-18T19:00:00-0500,,2016-12-18T21:00:00-0500
6,1.20E+15,basketball,LIU Brooklyn Blackbirds Men's Basketball vs. Niagara University Purple Eagles Men's Basketball,2016-12-21T17:00:00-0500,,2016-12-21T19:00:00-0500
5,1.18E+15,basketball,Brooklyn Nets v. Golden State Warriors,2016-12-22T19:30:00-0500,,2016-12-22T21:30:00-0500
4,1.58E+15,hockey,New York Islanders V Buffalo Sabres,2016-12-23T19:00:00-0500,,2016-12-23T21:00:00-0500
3,2.98E+14,basketball,Long Island Nets vs. Westchester Knicks,2016-12-26T13:30:00-0500,,2016-12-26T15:30:00-0500
2,1.19E+15,basketball,Brooklyn Nets v. Charlotte Hornets (Winter Scarf Giveaway),2016-12-26T19:30:00-0500,,2016-12-26T21:30:00-0500
1,1.12E+15,hockey,New York Islanders V Washington Capitals,2016-12-27T19:00:00-0500,,2016-12-27T21:00:00-0500
0,9.08E+14,boxing,WWE Live Holiday Tour,2016-12-28T19:30:00-0500,,2016-12-28T20:30:00-0500
