Date,Main performer(s),Tour / Concert name,Tickets sold,Additional notes
1月27日,Muse,Drones World Tour,"14,916 / 14,916 (100%)",
3月27日,Rihanna,Anti World Tour,"26,100 / 28,010 (93%)",
3月30日,Rihanna,Anti World Tour,"26,100 / 28,010 (93%)",
4月12日,Duran Duran,Paper Gods on Tour,,
4月23日,Bruce Springsteenand theE Street Band,The River Tour 2016,"33,248 / 33,248 (100%)",
4月25日,Bruce Springsteenand theE Street Band,The River Tour 2016,"33,248 / 33,248 (100%)",
5月4日,Justin Bieber,Purpose World Tour,"29,470 / 29,470 (100%)",
5月5日,Justin Bieber,Purpose World Tour,"29,470 / 29,470 (100%)",
5月17日,The 1975,American Tour,,
6月1日,Selena Gomez,Revival Tour,"11,582 / 12,970 (89%)",
7月8日,Demi LovatoandNick Jonas,Future Now Tour,"11,456 / 12,556 (91%)",
7月26日,G-EazyandLogic,Endless Summer Tour,,
7月28日,Laura Pausini,Pausini Stadi Tour 2016,,
8月11日,Barbra Streisand,"Barbra: The Music, The Mem'ries, The Magic","29,250 / 29,250 (100%)",
8月13日,Barbra Streisand,"Barbra: The Music, The Mem'ries, The Magic","29,250 / 29,250 (100%)",
8月17日,Blink-182,California Tour,,
10月7日,Blake Shelton,Blake Shelton 2016 Tour,,
10月25日,Sia,Nostalgic for the Present Tour,"12,134 / 12,134 (100%)",
11月19日,Keith Urban,Ripcord World Tour,"10,664 / 12,883 (82%)",